,experiment,clip,distance,duration,frequency,agent_moving,patient_moving,fireball_moving,collision_agent_patient,collision_agent_fireball
0,1,video3,699.8837368,0.266666667,1,TRUE,FALSE,FALSE,TRUE,FALSE
1,1,video7,159.8636698,0,0,TRUE,TRUE,FALSE,FALSE,FALSE
2,1,video12,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
3,1,video4,0.393638981,0.106666667,1,FALSE,TRUE,FALSE,TRUE,FALSE
4,1,video1,63.91088796,0.213333333,1,TRUE,FALSE,FALSE,TRUE,FALSE
5,1,video9,693.6458274,1.546666667,1,TRUE,FALSE,FALSE,TRUE,FALSE
6,1,video10,700.3126962,3.013333333,1,TRUE,FALSE,FALSE,TRUE,FALSE
7,1,video11,141.7983171,0.08,1,TRUE,TRUE,FALSE,TRUE,FALSE
8,1,video8,498.805682,1.68,2,TRUE,FALSE,FALSE,TRUE,FALSE
9,1,video6,331.0578004,0.746666667,1,TRUE,FALSE,FALSE,TRUE,FALSE
10,1,video5,330.8856495,0.933333333,1,TRUE,FALSE,FALSE,TRUE,FALSE
11,1,video2,343.4940599,0.026666667,1,TRUE,FALSE,FALSE,TRUE,FALSE
12,2,video3,699.8837368,0.266666667,1,TRUE,FALSE,FALSE,TRUE,FALSE
13,2,video7,159.8636698,0,0,TRUE,TRUE,FALSE,FALSE,FALSE
14,2,video12,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
15,2,video4,0.393638981,0.106666667,1,FALSE,TRUE,FALSE,TRUE,FALSE
16,2,video1,63.91088796,0.213333333,1,TRUE,FALSE,FALSE,TRUE,FALSE
17,2,video9,693.6458274,1.546666667,1,TRUE,FALSE,FALSE,TRUE,FALSE
18,2,video10,700.3126962,3.013333333,1,TRUE,FALSE,FALSE,TRUE,FALSE
19,2,video11,141.7983171,0.08,1,TRUE,TRUE,FALSE,TRUE,FALSE
20,2,video8,498.805682,1.68,2,TRUE,FALSE,FALSE,TRUE,FALSE
21,2,harm_moving_moving,183.7872326,0,0,TRUE,TRUE,TRUE,FALSE,TRUE
22,2,harm_moving_static,167.2405387,0,0,TRUE,FALSE,TRUE,FALSE,TRUE
23,2,harm_static_moving,128.1106538,0,0,TRUE,TRUE,FALSE,FALSE,TRUE
24,2,harm_static_static,415.1997369,0,0,TRUE,FALSE,FALSE,FALSE,TRUE
25,2,victim_moving_moving,183.7872326,0.106666667,2,TRUE,TRUE,TRUE,TRUE,FALSE
26,2,victim_moving_static,167.2405387,0.08,1,TRUE,TRUE,FALSE,TRUE,FALSE
27,2,victim_static_moving,128.1106538,0.213333333,1,TRUE,FALSE,TRUE,TRUE,FALSE
28,2,victim_static_static,415.1997369,0.8,1,TRUE,FALSE,FALSE,TRUE,FALSE
29,3,video13,159.8636698,0,0,TRUE,TRUE,FALSE,FALSE,FALSE
30,3,video14,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
31,3,video1,0.393638981,0.106666667,1,FALSE,TRUE,FALSE,TRUE,FALSE
32,3,video2,0.393638981,0,0,FALSE,FALSE,TRUE,FALSE,TRUE
33,3,video3,63.91088796,0.213333333,1,TRUE,FALSE,FALSE,TRUE,FALSE
34,3,video7,700.3126962,3.013333333,1,TRUE,FALSE,FALSE,TRUE,FALSE
35,3,video12,498.805682,1.68,2,TRUE,FALSE,FALSE,TRUE,FALSE
36,3,video15,183.7872326,0,0,TRUE,TRUE,TRUE,FALSE,TRUE
37,3,video16,167.2405387,0,0,TRUE,FALSE,TRUE,FALSE,TRUE
38,3,video17,128.1106538,0,0,TRUE,TRUE,FALSE,FALSE,TRUE
39,3,video18,183.7872326,0.106666667,2,TRUE,TRUE,TRUE,TRUE,FALSE
40,3,video19,167.2405387,0.08,1,TRUE,TRUE,FALSE,TRUE,FALSE
41,3,video20,128.1106538,0.213333333,1,TRUE,FALSE,TRUE,TRUE,FALSE
42,3,video5,323.1341526,0.426666667,1,TRUE,TRUE,TRUE,TRUE,FALSE
43,3,video4,332.5917634,0,0,TRUE,TRUE,TRUE,FALSE,TRUE
44,3,video10,352.4828434,0.293333333,1,TRUE,TRUE,FALSE,TRUE,FALSE
45,3,video11,352.4828434,0,0,TRUE,FALSE,TRUE,FALSE,TRUE
46,3,video9,364.1452021,0.346666667,1,TRUE,TRUE,TRUE,TRUE,FALSE
47,3,video8,364.1452021,0,0,TRUE,TRUE,TRUE,FALSE,TRUE
48,3,video6,214.8991623,0.026666667,1,TRUE,FALSE,FALSE,TRUE,FALSE
